rawQuestion,rawAnswer
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
2.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
3.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
4.   להגיע אישית לכל סניף לאסוף את הנתונים
 
 .",2
"פוטנציאל קיבולת ההעברה מאפיין את רוחב הסרט, ככל שרוחב הפס גדול יותר:
 
1. ניתן להעביר כמות גדולה של נתונים בקצב גבוהה.
 
2. המחיר זול יותר.
 
3. המידע העובר בו זמין יותר.
 
4. המקלט עלול לפענח את המידע באופן פחות נאמן.
 
 .",1
"בפיתוח מערכת מידע בארגון - באיזה שלב נבצע הדרכה למשתמשים?
 
1.   שלב התכנון
 
2.   שלב העיצוב
 
3.   שלב התחזוקה
 
4.   שלב היישום והטמעה
 
 .",4
"איזה מבין הבאים מתעד את בצורה מדויקת את פעילותנו באינטרנט (תיעוד של כל פעולות העכבר)?
 
1.   Bentch Consistent Hospale (dialog ditrict)
 
2.   Cycle Jam (specific)
 
3.   Object Orianted
 
4.   (Transaction log (click stream
 
 .",4
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1.   שירות
 
2.   נגרות
 
3. ייצור
 
4. עיצוב
 
 .",3
"מה מהבאים הינו סיכון אפשרי במערכת מידע
 
1.   נזק מגורם אנושי חיצוני
 
2.   נזק מגורם אנושי פנימי
 
3.   תקלות טכניות
 
4.   כל התשובות נכונות
 
 .",4
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1. ייצור
 
2.   שירות
 
3. עיצוב
 
4.   נגרות
 
 .",1
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   לשרת מספר עורכים ומשתמשים בקובץ
 
2.   כל התשובות נכונות
 
3.   למנוע כפילויות ובלבול במידע הנתון
 
4.   ליצור אחידות לצורה בה המידע שמור
 
 .",2
"איזה מהבאים הוא תכונה של מחשב ""שמן""
 
1.   תמיד מגיע בצבע מסוים
 
2.   זכרון וכוח עיבוד גדול *
 
3.   חומרתו חייבת להיות מסוג מאוד מסוים
 
4.   ניתן להתקין עליו רק תוכנות מסוג מסוים
 
 .",2
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
2.   תאריך לידה
 
3.   מספר ת""ז
 
4.   שם פרטי + שם משפחה
 
 .",3
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   שם פרטי + שם משפחה
 
2.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
3.   מספר ת""ז
 
4.   תאריך לידה
 
 .",3
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   דיווח על טכנולוגיות לחברה מתחרה
 
2.   כל התשובות נכונות
 
3.   שפיכת קפה על השרת של החברה
 
4.   כניסה למייל זדוני
 
 .",2
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
2. כל התשובות נכונות
 
3.   נשרפו המשרדים, נגרם נזק פיזי
 
4.   אחד מעובדיו גנב מידע
 
 .",2
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   שפיכת קפה על השרת של החברה
 
2.   כל התשובות נכונות
 
3.   כניסה למייל זדוני
 
4.   דיווח על טכנולוגיות לחברה מתחרה
 
 .",2
"מה מהאפשרויות הבאות לא אפשרית?
 
1. לקוח שמן שמותקן על מחשב שמן
  
2. לקוח רזה שמותקן על מחשב רזה
  
3. לקוח רזה שמותקן על מחשב שמן
  
4. לקוח שמן שמותקן על מחשב רזה 
 .",4
"אחת מגישות אבטחת המידע היא בקרת הגישה. מה מבין הבאים אינו אמצעי לוידוא מהימנות הגישה לנתונים?
 
1.   סורק עין
 
2. כרטיס
 
3.   ציוד אל-פסק
 
4.   טביעת אצבע
 
 .",3
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  מיקום המשתמש בכל X שניות
 
2.  כל התשובות נכונות
 
3.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
4.  היסטורית חיפושים של המשתמש
 
 .",2
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   שם פרטי + שם משפחה
 
2.   מספר ת""ז
 
3.   תאריך לידה
 
4.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
 .",2
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Agile
 
2. RAD
 
3. Firewall
 
4. מודל הספירלה
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. RAD
 
2. מודל הספירלה
 
3. Firewall
 
4. Agile
 
 .",4
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1.   נשרפו המשרדים, נגרם נזק פיזי
 
2.   אחד מעובדיו גנב מידע
 
3.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
4. כל התשובות נכונות
 
 .",4
"המודל ההיררכי אל מול מודל הרשתי- איזה טענה נכונה?
 
1.   המודל הרשתי לא רלוונטי בימנו, וכיום אין בו שימוש כלל
 
2.   שני המודלים קלים מאוד לבנייה ולתחזוק, והם הנפוצים ביותר מבין כלל המודלים הקיימים
 
3.   המבנה הרשתי בעל מבנה לא גמיש, לעומתו המודל ההיררכי בעל מבנה גמיש
 
4.   המודל ההיררכי בנוי בצורה של אב אחד למספר בנים, לעומתו המודל הרשתי מאפשר שבן יהיה מקושר למספר אבות
 
 .",4
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   לשרת מספר עורכים ומשתמשים בקובץ
 
2.   כל התשובות נכונות
 
3.   למנוע כפילויות ובלבול במידע הנתון
 
4.   ליצור אחידות לצורה בה המידע שמור
 
 .",2
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. מודל הספירלה
 
2. Firewall
 
3. RAD
 
4. Agile
 
 .",4
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   למנוע כפילויות ובלבול במידע הנתון
 
2.   כל התשובות נכונות
 
3.   לשרת מספר עורכים ומשתמשים בקובץ
 
4.   ליצור אחידות לצורה בה המידע שמור
 
 .",2
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
2.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
3.   להגיע אישית לכל סניף לאסוף את הנתונים
 
4.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
 .",4
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. RAD
 
2. מודל הספירלה
 
3. Firewall
 
4. Agile
 
 .",4
"מה מהאפשרויות הבאות לא אפשרית?
 
1. לקוח שמן שמותקן על מחשב רזה 
2. לקוח רזה שמותקן על מחשב רזה
  
3. לקוח רזה שמותקן על מחשב שמן
  
4. לקוח שמן שמותקן על מחשב שמן
  
 .",1
"אחת מגישות אבטחת המידע היא בקרת הגישה. מה מבין הבאים אינו אמצעי לוידוא מהימנות הגישה לנתונים?
 
1.   ציוד אל-פסק
 
2. כרטיס
 
3.   סורק עין
 
4.   טביעת אצבע
 
 .",1
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להגיע אישית לכל סניף לאסוף את הנתונים
 
2.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
3.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
4.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
 .",4
"אחת מגישות אבטחת המידע היא בקרת הגישה. מה מבין הבאים אינו אמצעי לוידוא מהימנות הגישה לנתונים?
 
1.   טביעת אצבע
 
2. כרטיס
 
3.   ציוד אל-פסק
 
4.   סורק עין
 
 .",3
"בחר/י בתשובה הנכונה
 
1.   פרויקט בניה מזכיר פרויקט תוכנה בהיבט הסיכוי שלו להצליח
 
2.   במודל 'מפל המים' ניתן לשנות את הדרישות מהמוצר תוך כדי התהליך בקלות ובלי כל תהליך מיוחד
 
3.   מודל 'מפל המים' הוא המודל הנפוץ ביותר כיום עקב גמישותו לשינויים
 
4.   מודל 'מפל המים' הוא מודל מסודר, המחלק את הפרויקט לחלקים. במודל תמיד עובדים לפי הסדר ואי אפשר לעבור לשלב הבא לפני שהנוכחי נחתם ע'י הגורמים האחראיים *
 
 .",4
"ההבדל העיקרי בין ROM ל- RAM הוא:
 
1. ROM זו טכנולוגיה ישנה שלא נמצאת בשימוש
 
2. ROM הוא זכרון בלתי נדיף
 
3. ROM נמצא בממירי טלויזיה
 
4. ל- ROM יש נפח גדול יותר
 
 .",2
"אחת מגישות אבטחת המידע היא בקרת הגישה. מה מבין הבאים אינו אמצעי לוידוא מהימנות הגישה לנתונים?
 
1. כרטיס
 
2.   טביעת אצבע
 
3.   סורק עין
 
4.   ציוד אל-פסק
 
 .",4
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1. ייצור
 
2.   נגרות
 
3.   שירות
 
4. עיצוב
 
 .",1
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  היסטורית חיפושים של המשתמש
 
2.  כל התשובות נכונות
 
3.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
4.  מיקום המשתמש בכל X שניות
 
 .",2
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1.   אחד מעובדיו גנב מידע
 
2. כל התשובות נכונות
 
3.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
4.   נשרפו המשרדים, נגרם נזק פיזי
 
 .",2
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   למנוע כפילויות ובלבול במידע הנתון
 
2.   ליצור אחידות לצורה בה המידע שמור
 
3.   כל התשובות נכונות
 
4.   לשרת מספר עורכים ומשתמשים בקובץ
 
 .",3
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   כל התשובות נכונות
 
2.   למנוע כפילויות ובלבול במידע הנתון
 
3.   ליצור אחידות לצורה בה המידע שמור
 
4.   לשרת מספר עורכים ומשתמשים בקובץ
 
 .",1
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   כל התשובות נכונות
 
2.   ליצור אחידות לצורה בה המידע שמור
 
3.   למנוע כפילויות ובלבול במידע הנתון
 
4.   לשרת מספר עורכים ומשתמשים בקובץ
 
 .",1
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   תאריך לידה
 
2.   מספר ת""ז
 
3.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
4.   שם פרטי + שם משפחה
 
 .",2
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
2.  כל התשובות נכונות
 
3.  מיקום המשתמש בכל X שניות
 
4.  היסטורית חיפושים של המשתמש
 
 .",2
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1.   נגרות
 
2.   שירות
 
3. ייצור
 
4. עיצוב
 
 .",3
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1.   נגרות
 
2.   שירות
 
3. ייצור
 
4. עיצוב
 
 .",3
"מה מהאפשרויות הבאות לא אפשרית?
 
1. לקוח שמן שמותקן על מחשב שמן
  
2. לקוח רזה שמותקן על מחשב שמן
  
3. לקוח שמן שמותקן על מחשב רזה 
4. לקוח רזה שמותקן על מחשב רזה
  
 .",3
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   תאריך לידה
 
2.   שם פרטי + שם משפחה
 
3.   מספר ת""ז
 
4.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
 .",3
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
2. כל התשובות נכונות
 
3.   נשרפו המשרדים, נגרם נזק פיזי
 
4.   אחד מעובדיו גנב מידע
 
 .",2
