Question,Answer
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   כניסה למייל זדוני
 
2.   כל התשובות נכונות
 
3.   דיווח על טכנולוגיות לחברה מתחרה
 
4.   שפיכת קפה על השרת של החברה
 
 .",1
"שאלה זו היא לצרכי מחקר - אשמח שתענו עליה אבל ניתן גם לדלג עליה 
 עד כמה אתם מרגישים שאתם זוכרים יותר טוב את החומר הנלמד בעזרת הבוט 
 
1. הרבה יותר טוב
2. יותר טוב
3. לא מרגישים הבדל מהותי
4. לא זוכרים את החומר יותר טוב - רק את התשובה הנכונה לשאלה
 .",4
"איזה מהמשפטים הבאים מתאר מידע תפעולי בצורה הטובה ביותר:
 
1. מידע תפעולי יכול להיות ברמת אמינות נמוכה ועוסק בהווה או בעבר הקרו
 
2. מידע תפעולי מתבסס בעיקרו על נתונים חיצוניים ורמת אמינותו נמוכה.
 
3. מידע תפעולי מתבסס בעיקרו על נתונים פנימיים ומופק בתדירות גבוהה.
 
4. תהליך ייצורו של מידע תפעולי גמיש והוא משלב הערכות ותחזיות.
 
 .",2
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
2.  כל התשובות נכונות
 
3.  היסטורית חיפושים של המשתמש
 
4.  מיקום המשתמש בכל X שניות
 
 .",3
"מהי מערכת המלצה?
 
1.   מערכת הממליצה למחשב באיזה סוג פרוטוקול להשתמש
 
2.   מערכת המנפיקה הצעות ייעול לתפקוד המחשב
 
3.   מערכת המסייעת לארגון יעיל של זכרון המחשב
 
4.   מסייעת למשתמשים על ידי מתן הצעות למוצרים או תוכן שעשויים להיות מעניינים עבורם
 
 .",3
"מה מהבאים נכון לגבי הקשר בין מערכות המלצה (recommendation systems) ומערכות תומכות החלטה (decision support systems)?
 
1. מערכות תומכות החלטה הן סוג של מערכות המלצה
 
2. מערכות המלצה ומערכות תומכות החלטה זה אותו דבר בשם אחר ובשימוש בתחום אחר
 
3. מערכות תומכות החלטה מיועדות לעסקים ומערכות המלצה משמשות בסחר אלקטרוני
 
4. מערכות המלצה מתמקדות בהמלצה על מוצרים או שירותים בעוד מערכת תומכות החלטה מתמקדות בהצגת מידע ונתונים למקבלי ההחלטות באופן שיעזור להם לקבל החלטה
 
 .",2
"מהי ההגדרה של TCO?
 
1.   כלל ההחזר על ההשקעה במערכת
 
2.   כלל העלויות הכרוכות בהטמעת המערכת בארגון
 
3.   כלל ההכנסות בעקבות הטמעת הארגון
 
4.   כלל התועלת מהטמעת המערכת בחברה
 
 .",4
"איזה מבין הבאים הוא חסרון של ERP?
 
1. מערכת יקרה
 
2. כל התשובות נכונות
 
3. יש פער בין מה שנכלל בה לבין צורכי הארגון
 
4. נדרש תהליך הטמעה איטנסיבי
 
 .",1
"מה מהבאים אינו מזהה חד חד ערכי?
 
1.   מספר הזמנה
 
2.   מספר אישי
 
3.   מספר ת.ז
 
4.   שם פרטי
 
 .",4
"דנה רוצה להבטיח מקסימום הגנה למערכות המידע בחברה אותה היא מנהלת. היא החליטה לנקוט בכמה צעדים אשר יתרמו לכך. אילו מבין הצעדים הבאים פחות רלוונטי בשביל להגן על מערכות המידע?
 
1.   אבטחת נתונים- הצפנה ופענוח, מפתח סימטרי, מפתח ציבורי/פרטי, ניטור מסדי הנתונים
 
2.   אבטחת תוכנה- אנטי וירוס, ניהול SPAM
 
3.   אבטחה פיזית- גיבוי, מיגון מפני אש, גדרות, אזעקות, מנעולים
 
4.   אבטחה אישית- ליווי צמוד של הבכירים לביתם בסוף יום העבודה, הכשרת העובדים להסתובב עם נשק
 
 .",2
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
2.   להגיע אישית לכל סניף לאסוף את הנתונים
 
3.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
4.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
 .",2
"מה מהבאים הינו כלי ליצירת בקרת גישה?
 
1.   כרטיס מגנטי
 
2.   זיהוי קולי
 
3.   טביעת אצבע
 
4.   כל התשובות נכונות
 
 .",4
"OUTSOURCING הוא
 
1.   הוצאה של הפעילות למדינה אחרת, אך אתה אחראי על הפעילות במדינה זו
 
2.   מיקור חוץ - לשלם לגוף חיצוני לבצע את ניהול מערכות המידע של החברה
 
3.   שרת המאפשר גישה מאובטחת לענן
 
4.   אף תשובה אינה נכונה
 
 .",4
"מה מהבאים נכון לגבי הקשר בין מערכות המלצה (recommendation systems) ומערכות תומכות החלטה (decision support systems)?
 
1. מערכות תומכות החלטה הן סוג של מערכות המלצה
 
2. מערכות תומכות החלטה מיועדות לעסקים ומערכות המלצה משמשות בסחר אלקטרוני
 
3. מערכות המלצה מתמקדות בהמלצה על מוצרים או שירותים בעוד מערכת תומכות החלטה מתמקדות בהצגת מידע ונתונים למקבלי ההחלטות באופן שיעזור להם לקבל החלטה
 
4. מערכות המלצה ומערכות תומכות החלטה זה אותו דבר בשם אחר ובשימוש בתחום אחר
 
 .",1
"מהי מערכת המלצה?
 
1.   מסייעת למשתמשים על ידי מתן הצעות למוצרים או תוכן שעשויים להיות מעניינים עבורם
 
2.   מערכת הממליצה למחשב באיזה סוג פרוטוקול להשתמש
 
3.   מערכת המנפיקה הצעות ייעול לתפקוד המחשב
 
4.   מערכת המסייעת לארגון יעיל של זכרון המחשב
 
 .",4
"ICLOUD, DROPBOX ו- GOOGLE DRIVE הם דוגמאות ל:
 
1.   C2B מסוג Market Creator.
 
2.   B2C מסוג Transaction Broker.
 
3.   C2B מסוג Service Provider.
 
4.   B2C מסוג Service Provider.
 
 .",2
"מהם הרמות לפיהן נהוג לחלק את תוכנה בין שרת ולקוח? 
1.    נתונים, לוגיקה, תצוגה/ממשק
  
2.    לוגיקה, תצוגה, איכות הקובץ
  
3.    מערכת הפעלה, סיבים אופטים, לוגיקה
  
4.    נתונים, מערכת הפעלה, איכות הקובץ *
  
 .",3
"מהו שדה מפתח ראשי?
 
1.   למעשה זהו שם אחר לשדה מפתח זר
 
2. כל התשובות לא נכונות
 
3.   מזהה חד חד ערכי של רשומה ביחס לרשומות אחרות
 
4.   אוסף של תווים או מספרים
 
 .",1
"מה מהבאות אינה תכונה של מחשב שמן?
 
1. זיכרון עבודה גדול 
2. כוח עיבוד רב
  
3. התקנת תוכנות רזות בלבד
  
4. יכולות גרפיות גבוהות
  
 .",2
"מערכת מידע ארגונית מסוג ERP תוגדר בצורה הטובה ביותר כ: 
1.  מערכת לניהול המשאבים הארגוניים המשלב את מירב צורכי המידע של הארגון תחת ""קורת גג"" אחת 
2.  מערכת מידע ניהולית 
3.  מערכת מידע תפעולית 
4.  מערכת מידע תומכת החלטות 
 .",4
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   שפיכת קפה על השרת של החברה
 
2.   כניסה למייל זדוני
 
3.   כל התשובות נכונות
 
4.   דיווח על טכנולוגיות לחברה מתחרה
 
 .",1
"TRANSACTION LOG היא דרך
 
1.   מדד אפקטיביות לפרסומות מקוונות
   
2.   לשמור עוגיות על מחשב החברה    
3.  לאסוף מידע על צרכן באמצעות שמירה של כל לחיצה שלו על קישור בבסיס נתונים   
4.    לאסוף מידע על צרכן באמצעות טפסים שהלקוח ממלא באינטרנט
    
 .",3
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  מיקום המשתמש בכל X שניות
 
2.  כל התשובות נכונות
 
3.  היסטורית חיפושים של המשתמש
 
4.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
 .",3
"מה ההבדל העיקרי בין מודל מפל המים לבין מודל ה AGILE?
 
1.   מודל ה AGILE גמיש בהרבה ממפל המים, שכמעט לא ניתן לשינוי *
 
2.   מחיר מודל מפל המים גדול ממחיר מודל ה AGILE
 
3.   זמן בניית הפרויקט ארוך הרבה יותר במודל ה AGILE
 
4.   AGILE דורש דרישות ידועות מראש, לעומת מפל המים שיכול לשנות החלטות
 
 .",1
"איזה מבין הבאים מתעד את בצורה מדויקת את פעילותנו באינטרנט (תיעוד של כל פעולות העכבר)?
 
1.   Bentch Consistent Hospale (dialog ditrict)
 
2.   Cycle Jam (specific)
 
3.   (Transaction log (click stream
 
4.   Object Orianted
 
 .",3
"אתה מנכ""ל חברה מצליחה למחשבים, אילו מהבאים לא הייתה מחשיב בתור תועלת מוחשית לחברה?
 
1.   נמכר פי 2 מהמלאי מתחילת השנה ביחס לשנה שעברה
 
2.   העובדים מרוצים ושמחים יותר לבוא לעבוד
 
3.   הביאו מכונה חדשה שעושה עבודה שדרשה שלושה עובדים בעבר
 
4.   מספר המכירות גדלו ביחס לרבעון הקודם
 
 .",3
"תומר פרץ לאתר בוגדים בוגדות ורצה לחשוף את פניהם של האנשים חסרי הנאמנות, תומר ביצע נזק:
 
1.   נזק מגורם אנושי חיצוני
 
2.   נזק תקלה תכנית מתפעול המערכת
 
3. פיזי
 
4.   נזק מגורם אנושי פנימי
 
 .",2
"מה ההבדל העיקרי בין מודל מפל המים לבין מודל ה AGILE?
 
1.   מחיר מודל מפל המים גדול ממחיר מודל ה AGILE
 
2.   AGILE דורש דרישות ידועות מראש, לעומת מפל המים שיכול לשנות החלטות
 
3.   מודל ה AGILE גמיש בהרבה ממפל המים, שכמעט לא ניתן לשינוי *
 
4.   זמן בניית הפרויקט ארוך הרבה יותר במודל ה AGILE
 
 .",1
"מי מהבאים יותר נכון לגבי ההבדל בין RAM ל- ROM?
 
1. ROM הוא זיכרון ניתן למחיקה
 
2. RAM זו טכנולוגיה חדישה
 
3. RAM הוא זיכרון נדיף
 
4. ל-RAM יש נפח קטן יותר
 
 .",3
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להגיע אישית לכל סניף לאסוף את הנתונים
 
2.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
3.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
4.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
 .",2
"מה מהאפשרויות הבאות לא אפשרית?
 
1. לקוח רזה שמותקן על מחשב שמן
  
2. לקוח שמן שמותקן על מחשב שמן
  
3. לקוח רזה שמותקן על מחשב רזה
  
4. לקוח שמן שמותקן על מחשב רזה 
 .",1
"למה ארגונים שומרים מידע?
 
1.    כדי לאפשר קבלת החלטות טובות יותר
  
2.    כיוון שעלויות האחסון נמוכות מאוד
  
3.    כדי לתעד היסטוריה
  
4.    כי ארגונים לא אוהבים למחוק מידע
  
 .",1
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  כל התשובות נכונות
 
2.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
3.  היסטורית חיפושים של המשתמש
 
4.  מיקום המשתמש בכל X שניות
 
 .",3
"יפנים השתלטו לי על המחשב ורשמו שעד שאשלם 50000$ המחשב בידם, באיזה סוג קוד זדוני הם השתמשו
 
1.   כופר
 
2. וירוס
 
3.   סוס טרויאני
 
4.   תולעת
 
 .",3
"בעבודה מול הענן, מה נעדיף?
 
1.   שרת חזק
 
2.   תקשורת מהירה *
 
3.   מספר קטן של שכבות
 
4.   מחשב שמן
 
 .",4
"ICLOUD, DROPBOX ו- GOOGLE DRIVE הם דוגמאות ל:
 
1.   C2B מסוג Service Provider.
 
2.   B2C מסוג Transaction Broker.
 
3.   B2C מסוג Service Provider.
 
4.   C2B מסוג Market Creator.
 
 .",4
"אם ארצה לאפשר למשתמש מחוץ לארגון בעיר אחרת לגלוש ברשת הארגונית שלי אשתמש ב-
 
1.   VPN
 
2. NFC
 
3. FIREWALL
 
4. SSL
 
 .",1
"מה מהבאים נכון לגבי DBMS?
 
1.    מערכת תוכנה המנהלת בסיס נתונים
  
2.    מאפשרת כתיבה וקריאה מבסיס הנתונים (ע""פ הגדרת המתכנת)
  
3.    כל התשובות נכונות
  
4.    מספקת שירותי נתונים למספר רב של יישומים שונים בו זמנית
  
 .",1
"ירדן פתחה חברה חדשה, וכרגע היא נמצאת בפיתוח אמצעי אבטחת התקשורת והאינטרנט. ירדן מאוד חוששת שמתחריה בסינגפור ינסו להיכנס לתקשורת שלה ולפגוע בה. באיזה כלי יכולה ירדן להשתמש על מנת להסיר את החשש מליבה?
 
1.   גדרות ומנעולים- ירדן תבנה אבטחה פיזית שתמנע מהסינגפורים לחדור לתקשורת שלה
 
2.   וידוא זהות- בעזרת סיסמאות, כרטיסים, טביעות אצבע ועוד ירדן תגן על התקשורת באופן מוחלט
 
3.   FIREWALL- ירדן צריכה להגדיר בחומת האש שהיא רוצה למנוע כניסת תקשורת מסינגפור
 
4.   אין לירדן מה לעשות חוץ מלהתפלל
 
 .",1
"TRANSACTION LOG היא דרך
 
1.   מדד אפקטיביות לפרסומות מקוונות
   
2.   לשמור עוגיות על מחשב החברה    
3.    לאסוף מידע על צרכן באמצעות טפסים שהלקוח ממלא באינטרנט
    
4.  לאסוף מידע על צרכן באמצעות שמירה של כל לחיצה שלו על קישור בבסיס נתונים   
 .",2
"מהו שדה מפתח ראשי?
 
1.   למעשה זהו שם אחר לשדה מפתח זר
 
2. כל התשובות לא נכונות
 
3.   אוסף של תווים או מספרים
 
4.   מזהה חד חד ערכי של רשומה ביחס לרשומות אחרות
 
 .",3
"מהו אינו חלק משלבי פיתוח על פי מודל ""מפל המים""?
 
1. רכישה  
2.  בדיקה
  
3.  ניתוח
  
4.  עיצוב
  
 .",4
"מסחר מסוג B2C הוא מסחר שבו:
 
1. לקוחות כותבים חוות דעת על עסקים
 
2. לקוחות מוכרים לעסקים
 
3. עסקים מקימים סביבות בהן לקוחות יכולים לסחור זה עם זה
 
4. עסקים מוכרים ללקוחות
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Agile
 
2. RAD
 
3. מודל הספירלה
 
4. Firewall
 
 .",3
"DROPBOX, ICLOUD ו- GOOGLE DRIVE הם דוגמאות ל:
 
1.   C2B מסוג Market Creator.
 
2.   B2C מסוג Service Provider.
 
3.   B2C מסוג Transaction Broker.
 
4.   C2B מסוג Service Provider.
 
 .",3
"מה מודל פיתוח התוכנה הנפוץ ביותר כיום
 
1.   לא ניתן לדעת
 
2. RAD
 
3. agile
 
4.   waterfall
 
 .",4
"למה ארגונים שומרים מידע?
 
1.    כיוון שעלויות האחסון נמוכות מאוד
  
2.    כדי לאפשר קבלת החלטות טובות יותר
  
3.    כדי לתעד היסטוריה
  
4.    כי ארגונים לא אוהבים למחוק מידע
  
 .",4
"ירדן פתחה חברה חדשה, וכרגע היא נמצאת בפיתוח אמצעי אבטחת התקשורת והאינטרנט. ירדן מאוד חוששת שמתחריה בסינגפור ינסו להיכנס לתקשורת שלה ולפגוע בה. באיזה כלי יכולה ירדן להשתמש על מנת להסיר את החשש מליבה?
 
1.   וידוא זהות- בעזרת סיסמאות, כרטיסים, טביעות אצבע ועוד ירדן תגן על התקשורת באופן מוחלט
 
2.   אין לירדן מה לעשות חוץ מלהתפלל
 
3.   FIREWALL- ירדן צריכה להגדיר בחומת האש שהיא רוצה למנוע כניסת תקשורת מסינגפור
 
4.   גדרות ומנעולים- ירדן תבנה אבטחה פיזית שתמנע מהסינגפורים לחדור לתקשורת שלה
 
 .",1
"OUTSOURCING הוא
 
1.   מיקור חוץ - לשלם לגוף חיצוני לבצע את ניהול מערכות המידע של החברה
 
2.   הוצאה של הפעילות למדינה אחרת, אך אתה אחראי על הפעילות במדינה זו
 
3.   שרת המאפשר גישה מאובטחת לענן
 
4.   אף תשובה אינה נכונה
 
 .",4
"תומר פרץ לאתר בוגדים בוגדות ורצה לחשוף את פניהם של האנשים חסרי הנאמנות, תומר ביצע נזק:
 
1.   נזק תקלה תכנית מתפעול המערכת
 
2. פיזי
 
3.   נזק מגורם אנושי חיצוני
 
4.   נזק מגורם אנושי פנימי
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. RAD
 
2. Firewall
 
3. מודל הספירלה
 
4. Agile
 
 .",2
"מהי מתודולוגית פיתוח התוכנה השכיחה יותר?
 
1.   Waterfall
 
2.   Rapid Application Development
 
3.   אף תשובה אינה נכונה
 
4.   Agile Software Development
 
 .",3
"מה מהבאות אינה תכונה של מחשב שמן?
 
1. כוח עיבוד רב
  
2. יכולות גרפיות גבוהות
  
3. זיכרון עבודה גדול 
4. התקנת תוכנות רזות בלבד
  
 .",2
"פרוטוקול תקשורת הוא:
 
1. אוסף של כללים המגדירים את אופן בקשת וקבלת נתונים במערכת תקשורת מסוימת
 
2. הצורה שבה בני אדם מדברים בטלפון
 
3. האופן שבו מסמך WORD כתוב
 
4. האופן שבו מערכת מבוססת BLE מסוגלת לדבר עם מערכת מבוססת NFC
 
 .",3
"מערכת מידע ארגונית מסוג ERP תוגדר בצורה הטובה ביותר כ: 
1.  מערכת לניהול המשאבים הארגוניים המשלב את מירב צורכי המידע של הארגון תחת ""קורת גג"" אחת 
2.  מערכת מידע תפעולית 
3.  מערכת מידע תומכת החלטות 
4.  מערכת מידע ניהולית 
 .",1
"אילו מבין הבאים מהווה דוגמה לשימוש בטכנולוגיית NFC?
 
1. קניית כרטיסים לתחבורה ציבורית.
 
2. תשלום בכרטיס אשראי ללא צורך במזומן.
 
3. כל התשובות נכונות.
 
4. בקרת כניסה לאזור שמור.
 
 .",3
"שאלה זו היא לצרכי מחקר - אשמח שתענו עליה אבל ניתן גם לדלג עליה 
 עד כמה אתם מרגישים שהשאלות בבוט ברורות 
 
1. הכל ברור 
2. הרוב ברור
3. חלק ברור וחלק לא
4. הרוב לא ברור
5. השאלות לא ברורות
 .",4
"מה מודל פיתוח התוכנה הנפוץ ביותר כיום
 
1. agile
 
2.   לא ניתן לדעת
 
3. RAD
 
4.   waterfall
 
 .",4
"מהו אינו חלק משלבי פיתוח על פי מודל ""מפל המים""?
 
1. רכישה  
2.  עיצוב
  
3.  בדיקה
  
4.  ניתוח
  
 .",4
"מהו ההבדל העיקרי בין מודל עיסקי B2B לB2C? סמן את התשובה הנכונה ביותר
 
1.   הראשון הוא בין עסק לעסק ואילו השני בין עסק לצרכן
 
2.   מודל ההכנסות של הראשון מבוסס על הכנסות ממכירות ושל השני ממודל דמי-פרימיום
 
3.   קהל היעד של הראשון הוא לעסקים ואילו לשני הוא ספקים
 
4.   כל התשובות נכונות
 
 .",3
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Firewall
 
2. Agile
 
3. RAD
 
4. מודל הספירלה
 
 .",1
"מתי מומלץ להשתמש ב-Outsourcing?
 
1. כשעלות השירות נמוכה ואיכות השירות שניתנת ע""י יחידת המחשב הפנימית נמוכה.
 
2. כשיש צורך בשיפור מדיניות ובקרה על יחידת המחש
 
3. כשעלות השירות הפנימי נמוכה ואיכות השירות שניתנת ע""י יחידת מחשוב הפנימית גבוהה.
 
4. כשעלות השירות הפנימי גבוהה ואיכות השירות שניתנת ע""י יחידת המחשוב הפנימית נמוכה.
 
 .",1
"מהם הרמות לפיהן נהוג לחלק את תוכנה בין שרת ולקוח? 
1.    לוגיקה, תצוגה, איכות הקובץ
  
2.    נתונים, מערכת הפעלה, איכות הקובץ *
  
3.    נתונים, לוגיקה, תצוגה/ממשק
  
4.    מערכת הפעלה, סיבים אופטים, לוגיקה
  
 .",3
"ההבדל העיקרי בין ROM ל- RAM הוא:
 
1. ROM הוא זכרון בלתי נדיף
 
2. ROM זו טכנולוגיה ישנה שלא נמצאת בשימוש
 
3. ל- ROM יש נפח גדול יותר
 
4. ROM נמצא בממירי טלויזיה
 
 .",1
"שגיא וערן התווכחו האם 20 בסיסי הנתונים בחברה של ערן הם מחסן או מחסנון (ערן טען שהם מחסנון). מי מהם צודק?
 
1.   אף אחד מהם לא לגמרי צודק, כיוון שהגדרה של מחסן או מחסנון- היא פרופורציונלית
 
2.   שגיא טועה כי הוא מסתכל רק על כמות המחסנים
 
3.   שגיא צודק כי בסיס הנתונים של ערן מבולגן ולכן הוא מחסן
 
4.   תמיד 20 בסיסי נתונים הם מחסן ולכן ערן צודק
 
 .",1
"איזה מהמשפטים הבאים מתאר מידע תפעולי בצורה הטובה ביותר:
 
1. תהליך ייצורו של מידע תפעולי גמיש והוא משלב הערכות ותחזיות.
 
2. מידע תפעולי יכול להיות ברמת אמינות נמוכה ועוסק בהווה או בעבר הקרו
 
3. מידע תפעולי מתבסס בעיקרו על נתונים פנימיים ומופק בתדירות גבוהה.
 
4. מידע תפעולי מתבסס בעיקרו על נתונים חיצוניים ורמת אמינותו נמוכה.
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Agile
 
2. Firewall
 
3. מודל הספירלה
 
4. RAD
 
 .",1
"מתי מומלץ להשתמש ב-Outsourcing?
 
1. כשיש צורך בשיפור מדיניות ובקרה על יחידת המחש
 
2. כשעלות השירות הפנימי גבוהה ואיכות השירות שניתנת ע""י יחידת המחשוב הפנימית נמוכה.
 
3. כשעלות השירות הפנימי נמוכה ואיכות השירות שניתנת ע""י יחידת מחשוב הפנימית גבוהה.
 
4. כשעלות השירות נמוכה ואיכות השירות שניתנת ע""י יחידת המחשב הפנימית נמוכה.
 
 .",2
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   שפיכת קפה על השרת של החברה
 
2.   דיווח על טכנולוגיות לחברה מתחרה
 
3.   כל התשובות נכונות
 
4.   כניסה למייל זדוני
 
 .",4
"דנה רוצה להבטיח מקסימום הגנה למערכות המידע בחברה אותה היא מנהלת. היא החליטה לנקוט בכמה צעדים אשר יתרמו לכך. אילו מבין הצעדים הבאים פחות רלוונטי בשביל להגן על מערכות המידע?
 
1.   אבטחת תוכנה- אנטי וירוס, ניהול SPAM
 
2.   אבטחת נתונים- הצפנה ופענוח, מפתח סימטרי, מפתח ציבורי/פרטי, ניטור מסדי הנתונים
 
3.   אבטחה אישית- ליווי צמוד של הבכירים לביתם בסוף יום העבודה, הכשרת העובדים להסתובב עם נשק
 
4.   אבטחה פיזית- גיבוי, מיגון מפני אש, גדרות, אזעקות, מנעולים
 
 .",3
"DROPBOX, ICLOUD ו- GOOGLE DRIVE הם דוגמאות ל:
 
1.   B2C מסוג Service Provider.
 
2.   B2C מסוג Transaction Broker.
 
3.   C2B מסוג Market Creator.
 
4.   C2B מסוג Service Provider.
 
 .",3
